,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576046,1.8284093021352303,5,1
1,0.001,3.098408004722569,2.5147281971428432,5,1
2,0.002,3.3485779718212774,2.972431003254235,5,1
3,0.003,3.5693044046727165,3.3314565011327826,5,1
4,0.004,3.7654170456919056,3.6258415285030363,5,1
5,0.005,3.9407669303189654,3.8734227834007466,5,1
6,0.006,4.09845364130781,4.0853050476443284,5,1
7,0.007,4.2409907246303895,4.269035402971019,5,1
8,0.008,4.3704339700029955,4.430029390499065,5,1
9,0.009000000000000001,4.488479679656315,4.572322106605682,5,1
10,0.01,4.5965396686162805,4.699005620258836,5,1
11,0.011,4.695798679098812,4.812502032788337,5,1
12,0.012,4.787258613074583,4.9147428451508155,5,1
13,0.013000000000000001,4.871772878380211,5.0072914792374785,5,1
14,0.014,4.950073283564219,5.091429613581022,5,1
15,0.015,5.022791277657137,5.168219589707057,5,1
16,0.016,5.090474864175301,5.2385504942661445,5,1
17,0.017,5.153602179012485,5.303172812527754,5,1
18,0.018000000000000002,5.212592474338647,5.36272490249827,5,1
19,0.019,5.267815069341832,5.4177535028571,5,1
20,0.02,5.319596695020833,5.468729816171312,5,1
