,pfa,h_est_c,h_est_n,cr,br
0,0.0,4.247927513443585,3.423766335194136,9,2
1,0.0001,4.346307878097829,3.663068844178602,9,2
2,0.0002,4.435986020607221,3.845300156144697,9,2
3,0.00030000000000000003,4.521784292245766,4.003966315291651,9,2
4,0.0004,4.60408798951264,4.146647304508486,9,2
5,0.0005,4.683133861181028,4.277102875362125,9,2
6,0.0006000000000000001,4.759117391953613,4.397633454283798,9,2
7,0.0007,4.832213425534874,4.509812023511203,9,2
8,0.0008,4.90258235916202,4.614791701769429,9,2
9,0.0009000000000000001,4.970372704977008,4.7134591262895675,9,2
10,0.001,5.0357225039662215,4.806520066684181,9,2
11,0.002,5.579460498502012,5.521366872799044,9,2
12,0.003,5.978966903046673,5.99709701860134,9,2
13,0.004,6.284552025983791,6.33975346798428,9,2
14,0.005,6.525360605541946,6.59855644612195,9,2
15,0.006,6.719494703869367,6.8005709839942465,9,2
16,0.007,6.87884012256342,6.962187750726146,9,2
17,0.008,7.0115540095138815,7.094005170325007,9,2
18,0.009000000000000001,7.123437300391165,7.203215326362809,9,2
19,0.01,7.218736573132535,7.294884364198393,9,2
20,0.011,7.300635712045308,7.37268888643914,9,2
21,0.012,7.3715699770842935,7.439362999438678,9,2
22,0.013000000000000001,7.433433762126937,7.496981807802186,9,2
23,0.014,7.487722209909402,7.547147786639328,9,2
24,0.015,7.535630267284889,7.591117065954343,9,2
25,0.016,7.578123537919411,7.6298872294736135,9,2
26,0.017,7.6159899574915215,7.664259722576665,9,2
27,0.018000000000000002,7.649878128770391,7.694885074051141,9,2
28,0.019,7.680326189333986,7.722296222547955,9,2
29,0.02,7.7077838402151615,7.746933446678847,9,2
