,cr,br,pm,pfa_crossover_value,h_est_c_crossover_value,h_est_n_crossover_value
0,5,1,0.001,0.006289999999999997,4.14125033617679,4.141213218910215
1,5,2,0.001,0.009079999999999998,5.269736592312325,5.269724780207266
2,6,1,0.001,0.004449999999999999,4.308179698706178,4.307566984732251
3,6,2,0.001,0.006079999999999997,5.440888248902315,5.440751637137019
4,7,1,0.001,0.0033299999999999996,4.455707878265878,4.455043008864403
5,7,2,0.001,0.00442,5.5958923135103475,5.5956846487563325
6,8,1,0.001,0.0025899999999999994,4.586459051688816,4.585746853024035
7,8,2,0.001,0.0033799999999999998,5.73561681068742,5.735230852632734
8,9,1,0.001,0.0020700000000000002,4.701286312049209,4.699973504389511
9,9,2,0.001,0.0026799999999999992,5.863188520579994,5.862711395448615
10,10,1,0.001,0.0017000000000000003,4.810414793220913,4.809775502358302
11,10,2,0.001,0.00218,5.9789281846755955,5.978189028147952
