,pfa,h_est_c,h_est_n,cr,br
0,0.0,2.8073549220576046,1.8284093021352301,9,1
1,0.001,3.922219579884688,3.6810865844161285,9,1
2,0.002,4.658814653115751,4.647359106167889,9,1
3,0.003,5.185323056928484,5.279757416765824,9,1
4,0.004,5.58118705749357,5.729010943844903,9,1
5,0.005,5.890036487812849,6.065052424799109,9,1
6,0.006,6.13786938020783,6.325780398895328,9,1
7,0.007,6.341171231777132,6.5337371583860016,9,1
8,0.008,6.510920947720104,6.703237459629116,9,1
9,0.009000000000000001,6.65472606682446,6.843833087881714,9,1
10,0.01,6.778033496968866,6.962152427410325,9,1
11,0.011,6.88485176132998,7.062944418837502,9,1
12,0.012,6.978200506309217,7.149703043021913,9,1
13,0.013000000000000001,7.060400524432861,7.225057333886163,9,1
14,0.014,7.133266770795991,7.291023914590627,9,1
15,0.015,7.198240335431697,7.3491756323928366,9,1
16,0.016,7.2564808454613035,7.4007572064270475,9,1
17,0.017,7.308932537613002,7.446766404940048,9,1
18,0.018000000000000002,7.356372399551539,7.488012207497015,9,1
19,0.019,7.399445842963743,7.525157243414999,9,1
20,0.02,7.438693542995688,7.558749265467992,9,1
